"id","created_at","rows","cols","starting_color","status","winner","draw","original_sequence","canonical_key","source_filename","confiance"
61873,"2026-03-24 21:46:12.885947+01",9,9,"R","FINISHED","Y",False,"3,7,6,6,5,4,4,4,5,4,5,5,3,3,1,5,3,4,4,3,3,5,5,7,6,6,6,6","3,7,6,6,5,4,4,4,5,4,5,5,3,3,1,5,3,4,4,3,3,5,5,7,6,6,6,6","hybrid_minimax_9x9_1774385172839615200_34999",1
61872,"2026-03-24 21:46:12.813273+01",9,9,"R","FINISHED","Y",False,"6,7,4,5,4,4,4,6,6,5,6,7,7,5,5,7,5,5,6,6,9,7,7,5,1,1,7,7,5,5,7,1,1,2,2,2,9,1,9,9,2,9,6,1,6,9,9,1,1,2,3,6,4,4,1,2,2,4,4,4,2,2,9,9,8,8","4,3,6,5,6,6,6,4,4,5,4,3,3,5,5,3,5,5,4,4,1,3,3,5,9,9,3,3,5,5,3,9,9,8,8,8,1,9,1,1,8,1,4,9,4,1,1,9,9,8,7,4,6,6,9,8,8,6,6,6,8,8,1,1,2,2","hybrid_minimax_9x9_1774385172766112300_34998",1
61871,"2026-03-24 21:46:12.750649+01",9,9,"R","FINISHED","Y",False,"4,7,4,3,5,4,6,4,4,5,6,6,5,5,6,5,5,6,3,7,8,7,7,7,7,6,3,7","4,7,4,3,5,4,6,4,4,5,6,6,5,5,6,5,5,6,3,7,8,7,7,7,7,6,3,7","hybrid_minimax_9x9_1774385172700786400_34997",1
61870,"2026-03-24 21:46:12.6859+01",9,9,"R","FINISHED","Y",False,"6,7,4,6,5,3,5,5,4,6,3,4,4,3","4,3,6,4,5,7,5,5,6,4,7,6,6,7","hybrid_minimax_9x9_1774385172638119500_34996",1
61869,"2026-03-24 21:46:12.619708+01",9,9,"R","FINISHED","R",False,"3,3,6,4,5,4,6,4,4,4,7,8,7,7,6,6,8,5,5","3,3,6,4,5,4,6,4,4,4,7,8,7,7,6,6,8,5,5","hybrid_minimax_9x9_1774385172575435900_34995",1
61868,"2026-03-24 21:46:12.53112+01",9,9,"R","FINISHED","Y",False,"5,4,5,4,5,5,5,6,5,4,4,6,4,6,6,6,4,4,6,6,5,5,6,4,8,8,2,4,2,6,5,8,2,2,8,9,2,2,8,8,9,8,8,1,9,9,1,9,9,9,9,9,2,2,1,8,2,7,7,7,1,1,1,3,3,3","5,4,5,4,5,5,5,6,5,4,4,6,4,6,6,6,4,4,6,6,5,5,6,4,8,8,2,4,2,6,5,8,2,2,8,9,2,2,8,8,9,8,8,1,9,9,1,9,9,9,9,9,2,2,1,8,2,7,7,7,1,1,1,3,3,3","hybrid_minimax_9x9_1774385172485454800_34994",1
61867,"2026-03-24 21:46:12.460286+01",9,9,"R","FINISHED","Y",False,"3,5,5,6,5,4,7,4,6,5,4,4,7,6,6,4,7,7,5,4,4,5,9,6,6,5,6,6,5,9,7,7,7,6,9,1,9,9,9,9,9,3,1,3,4,4,8,8,8,8,1,5,1,1,8,8,8,8,8,1,9,2,2,3,3,3","3,5,5,6,5,4,7,4,6,5,4,4,7,6,6,4,7,7,5,4,4,5,9,6,6,5,6,6,5,9,7,7,7,6,9,1,9,9,9,9,9,3,1,3,4,4,8,8,8,8,1,5,1,1,8,8,8,8,8,1,9,2,2,3,3,3","hybrid_minimax_9x9_1774385172318047400_34993",1
61866,"2026-03-24 21:46:12.300339+01",9,9,"R","FINISHED","R",False,"7,6,4,5,5,6,5,5,5,5,6,5,4,4,2,6,6,5,5,6,4,4,1,3,2,3,3","3,4,6,5,5,4,5,5,5,5,4,5,6,6,8,4,4,5,5,4,6,6,9,7,8,7,7","hybrid_minimax_9x9_1774385172133549600_34992",1
61865,"2026-03-24 21:46:12.08961+01",9,9,"R","FINISHED","R",False,"5,4,6,3,4,5,5,6,5,4,6,1,2,8,6,8,4,4,8,5,6,6,8,5,4,6,5,6,6,5,5,8,8,8,8,8,4,4,4,1,1,1,9,9,9,9,1,9,1,1,9,1,9,2,2,2,2,2,2,2,2,1,3,7,7,7,7","5,4,6,3,4,5,5,6,5,4,6,1,2,8,6,8,4,4,8,5,6,6,8,5,4,6,5,6,6,5,5,8,8,8,8,8,4,4,4,1,1,1,9,9,9,9,1,9,1,1,9,1,9,2,2,2,2,2,2,2,2,1,3,7,7,7,7","hybrid_minimax_9x9_1774385172035258100_34991",1
61864,"2026-03-24 21:46:12.009249+01",9,9,"R","FINISHED","Y",False,"7,5,4,4,6,4,4,5,5,6,7,7,5,6,5,5,6,7,6,7,7,6,5,4,4,6,6,5,5,7,7,7,1,4,6,4,4,1,9,8,1,1,1,1,1,1,1,8,2,3,3,2,2,9,2,2,9,2,9,8,8,8","3,5,6,6,4,6,6,5,5,4,3,3,5,4,5,5,4,3,4,3,3,4,5,6,6,4,4,5,5,3,3,3,9,6,4,6,6,9,1,2,9,9,9,9,9,9,9,2,8,7,7,8,8,1,8,8,1,8,1,2,2,2","hybrid_minimax_9x9_1774385171853892300_34990",1
