id,save_name,save_date,rows,cols,starting_color,mode,game_index,moves,view_index,ai_mode,ai_depth,confidence,distinct_cols,player_red,player_yellow,created_at
6,1,2026-02-03 16:45:22.455397,8,9,R,1,2,"[2, 4, 1, 3, 3, 5, 3, 6]",8,minimax,4,1,0,,,2026-03-20 14:14:32.711364+01
7,9x9,2026-02-04 13:29:42.318515,9,9,R,0,2,"[4, 2, 4, 4, 2, 6, 2, 2, 4, 2, 1, 2, 2, 1, 6, 1, 1, 4, 3, 4, 4, 4, 4, 3, 3]",25,minimax,4,1,0,,,2026-03-20 14:14:32.711364+01
40,1,2026-02-05 13:14:00.762133,8,9,R,0,2,"[5, 8, 0, 1, 5, 3, 3, 3, 7, 6, 2, 6, 7, 1, 8, 2, 6, 7, 1, 7, 1, 8, 0, 2, 6, 8, 1, 5, 1]",29,random,4,1,0,,,2026-03-20 14:14:32.711364+01
43,auto_9x9_minimax_d6_20260218_001315_1,2026-02-18 00:13:15.884211,9,9,R,1,1,"[4, 6, 4, 1, 8, 3, 0, 2, 4, 8, 8, 5, 7, 6, 3, 8, 2, 6, 6, 4, 8, 2, 3, 1, 5]",25,minimax,6,4,9,,,2026-03-20 14:14:32.711364+01
44,auto_9x9_minimax_d2_20260218_001315_2,2026-02-18 00:13:15.894443,9,9,R,1,2,"[0, 1, 5, 8, 2, 4, 5, 2, 3, 0, 6, 5, 3, 8, 6, 2, 1, 1, 3, 5, 3]",21,minimax,2,2,8,,,2026-03-20 14:14:32.711364+01
45,auto_9x9_minimax_d6_20260218_001315_3,2026-02-18 00:13:15.894824,9,9,Y,0,3,"[3, 8, 3, 5, 5, 4, 0, 6, 2, 0, 1]",11,minimax,6,4,8,,,2026-03-20 14:14:32.711364+01
46,auto_9x9_minimax_d4_20260218_001315_4,2026-02-18 00:13:15.895107,9,9,R,1,4,"[0, 1, 6, 3, 4, 3, 4, 3, 5, 2, 7]",11,minimax,4,3,8,,,2026-03-20 14:14:32.711364+01
47,auto_9x9_random_d4_20260218_001315_5,2026-02-18 00:13:15.895376,9,9,Y,0,5,"[5, 5, 8, 1, 2, 7, 4, 1, 1, 2, 2, 7, 4, 8, 5, 0, 6, 0, 0, 0, 1, 6]",22,random,4,1,8,,,2026-03-20 14:14:32.711364+01
48,auto_9x9_minimax_d8_20260218_001315_6,2026-02-18 00:13:15.895623,9,9,R,0,6,"[8, 4, 3, 1, 4, 4, 6, 1, 8, 1, 6, 6, 5, 7, 2, 8, 4, 7, 3, 1]",20,minimax,8,5,8,,,2026-03-20 14:14:32.711364+01
49,auto_9x9_random_d4_20260218_001315_7,2026-02-18 00:13:15.896324,9,9,R,1,7,"[1, 4, 4, 6, 8, 6, 4, 1, 1, 3, 4, 1, 6, 4, 3, 4, 8, 1, 5, 5, 0, 7, 1, 6, 2, 6, 2, 3, 2, 8, 7, 7, 1, 7, 4, 2, 8, 7, 6, 2, 7, 7, 0, 2, 3, 0, 5, 3]",48,random,4,1,9,,,2026-03-20 14:14:32.711364+01
50,auto_9x9_random_d6_20260218_001315_8,2026-02-18 00:13:15.896575,9,9,Y,0,8,"[5, 1, 5, 5, 3, 0, 1, 5, 6, 8, 7, 6, 4]",13,random,6,1,8,,,2026-03-20 14:14:32.711364+01
51,auto_9x9_minimax_d8_20260218_001315_9,2026-02-18 00:13:15.8968,9,9,Y,0,9,"[6, 8, 0, 0, 4, 0, 7, 3, 1, 0, 8, 4, 5]",13,minimax,8,5,8,,,2026-03-20 14:14:32.711364+01
52,auto_9x9_random_d2_20260218_001315_10,2026-02-18 00:13:15.897034,9,9,Y,0,10,"[0, 1, 6, 7, 8, 6, 3, 6, 5, 7, 0, 6, 7, 8, 8, 3, 0, 8, 1, 5]",20,random,2,1,7,,,2026-03-20 14:14:32.711364+01
53,auto_9x9_random_d8_20260218_001315_11,2026-02-18 00:13:15.897263,9,9,Y,0,11,"[4, 0, 6, 5, 0, 6, 7, 7, 6, 6, 4, 8, 6, 5, 5, 8]",16,random,8,1,6,,,2026-03-20 14:14:32.711364+01
54,auto_9x9_minimax_d6_20260218_001315_12,2026-02-18 00:13:15.897503,9,9,R,0,12,"[1, 1, 8, 8, 2, 5, 7, 7, 3, 7, 3, 7, 0]",13,minimax,6,4,7,,,2026-03-20 14:14:32.711364+01
55,auto_9x9_minimax_d2_20260218_001315_13,2026-02-18 00:13:15.897736,9,9,R,0,13,"[1, 4, 0, 5, 5, 0, 3, 5, 4, 0, 4, 5, 8, 4, 2]",15,minimax,2,2,7,,,2026-03-20 14:14:32.711364+01
56,auto_9x9_random_d6_20260218_001315_14,2026-02-18 00:13:15.897974,9,9,R,0,14,"[5, 3, 4, 3, 3, 2, 0, 2, 4, 0, 7, 0, 5, 4, 3, 5, 2, 1, 4, 3, 7, 7, 7, 5]",24,random,6,1,7,,,2026-03-20 14:14:32.711364+01
